ID,Prof,Rating_Weight_1,Rating_Weight_2,Rating_Weight_3,Rating_Weight_4,Rating_Weight_5,Rating_Weight_6,Rating_Weight_7,Rating_Weight_8,Rating_Weight_9,Rating_Weight_10,Rating_Weight_11,Ranking_Weight_1,Ranking_Weight_2,Ranking_Weight_3,Ranking_Weight_4,Ranking_Weight_5,Ranking_Weight_6,Ranking_Weight_7,Ranking_Weight_8,Ranking_Weight_9,Ranking_Weight_10,Ranking_Weight_11
R_2b19Pj4wt9SeIjD,Somewhat experienced: architecture student,5,6,6,5,8,8,7,7,7,8,6,10,3,4,8,2,6,5,7,9,1,11
R_2al9fjqTPnX5Lei,Very Experienced: architecture professional,6,5,6,5,7,5,6,4,6,4,6,6,4,8,9,2,3,1,10,11,5,7
R_124pD9XAvY1LoCy,Very Experienced: architecture professional,9,7,9,6,8,6,8,7,8,9,7,11,2,1,6,7,3,4,9,10,5,8
R_2zORigYKNUBSyos,Somewhat experienced: architecture student,7,5,7,7,9,7,8,8,6,6,7,2,3,10,4,7,8,6,1,5,9,11
R_3kaYzzIQCBy7fxg,Somewhat experienced: architecture student,5,6,6,5,6,6,6,6,5,4,4,9,11,8,1,6,7,3,5,4,2,10
R_BzFJcJBikeny8rT,Somewhat experienced: architecture student,6,7,8,8,7,9,8,8,7,7,8,2,8,11,6,5,7,4,10,1,3,9
R_2uDwOjvnHxmSpNx,Somewhat experienced: architecture student,7,7,7,9,7,8,9,7,8,9,6,9,4,8,6,2,3,1,7,11,10,5
R_2mMg1zJGrwayELL,Somewhat experienced: architecture student,5,8,5,7,8,7,8,8,8,7,6,9,3,8,6,7,10,5,4,2,1,11
R_28D8FDwMv3qNf03,Somewhat experienced: architecture student,7,7,8,6,7,8,8,8,9,6,6,3,11,8,1,2,6,10,4,9,7,5
R_81zSFTgmhrhJvHj,Somewhat experienced: architecture student,7,8,7,9,8,9,8,8,8,6,6,10,9,3,5,7,2,8,1,6,4,11
R_129XhvKiW3oFnSW,Somewhat experienced: architecture student,8,9,5,8,8,7,9,6,9,9,7,8,11,10,7,9,3,5,2,6,4,1
R_zZ02dtmi6wzxEC5,Somewhat experienced: architecture student,5,4,7,4,6,3,6,4,7,4,3,11,1,8,9,6,3,10,5,4,7,2
R_6Xo2FLhxuy4sZCV,No experience: no architectural or construction training,7,9,8,9,7,4,7,6,7,8,9,2,4,11,7,8,1,3,6,9,5,10
R_1IYKZXXkDJ5sq7T,Very Experienced: architecture professional,8,8,3,2,4,2,2,4,2,7,3,7,6,11,10,3,5,2,4,8,9,1
